menuCode,mainCategory,subCategory,menuName,weight,foodCount
D011001,밥류,쌀밥,눌은밥,440.0,1
D011002,밥류,쌀밥,쌀밥,210.0,1
D011003,밥류,쌀밥,찰밥,210.0,1
D011004,밥류,쌀밥,현미밥,210.0,1
D011006,밥류,쌀밥,현미밥,160.0,1
D011007,밥류,쌀밥,누룽지(멥쌀),100.0,1
D011008,밥류,쌀밥,흑미밥,90.0,2
D011009,밥류,쌀밥,발아현미밥,100.0,2
D011010,밥류,쌀밥,흑미현미밥,95.0,3
D012001,밥류,잡곡밥류,검정콩밥,200.0,2
D012002,밥류,잡곡밥류,기장밥,205.0,2
D012003,밥류,잡곡밥류,녹두밥,210.0,3
D012004,밥류,잡곡밥류,땅콩밥,200.0,2
D012005,밥류,잡곡밥류,밤밥,210.0,2
D012006,밥류,잡곡밥류,보리밥,200.0,2
D012007,밥류,잡곡밥류,보리밥(강낭콩),210.0,3
D012008,밥류,잡곡밥류,보리밥(조),200.0,3
D012009,밥류,잡곡밥류,보리밥(팥),200.0,3
D012010,밥류,잡곡밥류,수수밥,200.0,2
D012011,밥류,잡곡밥류,쑥밥,230.0,2
D012012,밥류,잡곡밥류,약식,197.0,7
D012013,밥류,잡곡밥류,오곡밥,206.0,8
D012014,밥류,잡곡밥류,옥수수밥,210.0,2
D012015,밥류,잡곡밥류,완두콩밥,200.0,3
D012016,밥류,잡곡밥류,율무밥,200.0,3
D012017,밥류,잡곡밥류,잡곡밥(강낭콩),208.0,3
D012018,밥류,잡곡밥류,잡곡밥(옥수수),180.0,5
D012019,밥류,잡곡밥류,잡곡밥(팥),220.0,4
D012020,밥류,잡곡밥류,조밥,190.0,2
D012021,밥류,잡곡밥류,차수수밥,180.0,3
D012022,밥류,잡곡밥류,차조밥,180.0,3
D012023,밥류,잡곡밥류,찰밥(멥쌀),200.0,2
D012024,밥류,잡곡밥류,찰밥(수수),180.0,3
D012025,밥류,잡곡밥류,콩밥,190.0,3
D012026,밥류,잡곡밥류,팥밥,210.0,2
D012027,밥류,잡곡밥류,귀리누룽지,70.0,2
D012029,밥류,잡곡밥류,귀리밥,190.0,2
D012034,밥류,잡곡밥류,보리고구마밥,158.0,3
D012037,밥류,잡곡밥류,양주밤밥,186.0,4
D012043,밥류,잡곡밥류,조감자밥,300.0,2
D012047,밥류,잡곡밥류,보리옥수수밥,120.0,3
D012048,밥류,잡곡밥류,보리옥수수밥,169.9,3
D012049,밥류,잡곡밥류,잡곡밥,200.1,8
D012050,밥류,잡곡밥류,잡곡밥,270.1,8
D012051,밥류,잡곡밥류,귀리밥,140.0,2
D012052,밥류,잡곡밥류,보리고구마밥,342.0,3
D012053,밥류,잡곡밥류,옥수수밥,180.0,2
D012054,밥류,잡곡밥류,잡곡밥(강낭콩),88.6,3
D012055,밥류,잡곡밥류,귀리누룽지,175.0,2
D012056,밥류,잡곡밥류,보리고구마밥,144.8,3
D012057,밥류,잡곡밥류,귀리밥,168.5,2
D012058,밥류,잡곡밥류,귀리영양밥,190.0,7
D012059,밥류,잡곡밥류,기장 영양밥,210.0,17
D012060,밥류,잡곡밥류,대추영양밥,289.0,15
D012061,밥류,잡곡밥류,상추쌈보리밥,270.0,7
D012062,밥류,잡곡밥류,영양찰밥 품은 팥,170.5,6
D012063,밥류,잡곡밥류,오곡밥,194.0,8
D012064,밥류,잡곡밥류,오곡연잎밥,207.7,10
D012065,밥류,잡곡밥류,옥수수영양밥,262.8,11
D012066,밥류,잡곡밥류,강낭콩밥,100.0,2
D012067,밥류,잡곡밥류,꽁보리밥,80.0,2
D012068,밥류,잡곡밥류,늘보리밥,90.0,2
D012069,밥류,잡곡밥류,동부콩밥,100.0,2
D012070,밥류,잡곡밥류,렌틸콩밥,90.0,3
D012071,밥류,잡곡밥류,모듬콩밥,65.0,3
D012072,밥류,잡곡밥류,서리태밥,102.0,3
D012073,밥류,잡곡밥류,오곡찰밥,129.1,7
D012074,밥류,잡곡밥류,찰보리밥,80.0,2
D012075,밥류,잡곡밥류,찰현미밥,100.0,2
D012076,밥류,잡곡밥류,귀리수수밥,96.0,3
D012077,밥류,잡곡밥류,귀리차조밥,96.0,3
D012078,밥류,잡곡밥류,귀리현미밥,88.0,3
D012079,밥류,잡곡밥류,기장보리밥,98.0,3
D012080,밥류,잡곡밥류,기장현미밥,98.0,3
D012081,밥류,잡곡밥류,대추밤찰밥,130.0,5
D012082,밥류,잡곡밥류,더덕영양밥,124.0,5
D012083,밥류,잡곡밥류,병아리콩밥,90.0,2
D012084,밥류,잡곡밥류,보리현미밥,110.0,3
D012085,밥류,잡곡밥류,수수현미밥,93.0,3
D012086,밥류,잡곡밥류,옥수수콩밥,95.0,3
D012087,밥류,잡곡밥류,차조기장밥,106.0,3
D012088,밥류,잡곡밥류,차조현미밥,98.0,3
D012089,밥류,잡곡밥류,찰옥수수밥,140.0,3
D012090,밥류,잡곡밥류,찹쌀기장밥,60.0,3
D012091,밥류,잡곡밥류,찹쌀녹두밥,67.0,3
D012092,밥류,잡곡밥류,찹쌀차조밥,108.0,3
D012093,밥류,잡곡밥류,찹쌀현미밥,108.0,3
D012094,밥류,잡곡밥류,현미기장밥,90.0,3
D012095,밥류,잡곡밥류,현미수수밥,100.0,3
D012096,밥류,잡곡밥류,현미찹쌀밥,100.0,3
D012097,밥류,잡곡밥류,현미흑미밥,90.0,3
D012098,밥류,잡곡밥류,흑미차조밥,96.0,3
D012099,밥류,잡곡밥류,강낭콩현미밥,125.0,3
D012100,밥류,잡곡밥류,서리태보리밥,97.0,4
