model,sequence_length,hidden_size,row_count,mae,rmse,mape_percent,mape_excluded_zero_count,r2,fit_seconds,prediction_seconds,epochs
baseline_lag_1,,,1480,0.12327432432432431,0.5935995248868937,2.1091490865451314,0,0.9897066990204613,0.0,0.0,
lstm,7.0,16.0,1480,0.6253855505182937,0.902062796925107,14.11169893916753,0,0.9762293462306286,24.188730200054124,0.6400851998478174,25.0
lstm,7.0,32.0,1480,0.5637791268812644,0.8619272408079367,15.256790418085323,0,0.9782975484296939,25.410637099994346,0.5857084998860955,24.0
lstm,7.0,64.0,1480,0.502748457458857,0.8084319882304976,12.101972971767696,0,0.9809078621487025,37.91340319998562,0.6314407999161631,37.0
gru,7.0,16.0,1480,0.7155682235563124,1.1886636851677013,16.789515220104896,0,0.9587251434907295,13.920628400053829,0.5376280001364648,14.0
gru,7.0,32.0,1480,0.5149752826046298,0.7944223498121028,10.43170855708922,0,0.9815638390787366,29.01813940005377,0.5001927001867443,33.0
gru,7.0,64.0,1480,0.6126261800302043,0.9631159078594291,14.477733325434967,0,0.9729027826461532,22.23662089998834,0.5725197000429034,23.0
lstm,14.0,16.0,1480,0.5132190526807632,0.8677918274879962,14.985111946142304,0,0.9780012150560898,22.93003089982085,0.41768600000068545,23.0
lstm,14.0,32.0,1480,0.5277472239146362,0.9322333407514837,13.424986235548147,0,0.9746126807227569,23.04627910000272,0.4610699999611825,19.0
lstm,14.0,64.0,1480,0.40021305144799724,0.7388942844816725,10.098159691524181,0,0.9840510463121738,31.196056800195947,0.5575739000923932,24.0
gru,14.0,16.0,1480,0.7406111580449183,1.1990738685207352,17.459760673548537,0,0.9579990165483274,18.12060709996149,0.5401041998993605,14.0
gru,14.0,32.0,1480,0.5255348811471784,0.8229750908306492,12.089585407834493,0,0.98021477636149,30.106312199961394,0.5659277001395822,24.0
gru,14.0,64.0,1480,0.5254038629106572,0.850968556234355,16.274224370193245,0,0.9788458972998801,47.52214160002768,0.4932441001292318,36.0
lstm,30.0,16.0,1480,0.5144766238715197,0.9345524332900105,13.094523887112382,0,0.9744862128703271,32.167406500084326,0.5070398000534624,23.0
lstm,30.0,32.0,1480,0.5939967407729175,0.9304897534488762,13.310390242299167,0,0.9747075574246324,37.06548930006102,0.6308776000514627,22.0
lstm,30.0,64.0,1480,0.5061383065210806,0.8266359423269544,12.867378713062221,0,0.980038363092706,56.233791400212795,0.532249600160867,29.0
gru,30.0,16.0,1480,0.7459748673542125,1.149498453042454,17.737486156544733,0,0.9614002612907607,23.30652800016105,0.5321317000780255,13.0
gru,30.0,32.0,1480,0.5079604532228934,0.8666954144775983,11.767424232503739,0,0.97805676874118,51.96677120006643,0.552545899990946,31.0
gru,30.0,64.0,1480,0.5144662797786095,0.8180332772180867,13.249166878263146,0,0.9804516761863052,48.5076182000339,0.5872307000681758,22.0
