sequence_length,split,series_id,sequence_count
7,train,3,142
7,train,4,142
7,train,6,142
7,train,8,142
7,train,10,142
7,train,11,142
7,train,12,142
7,train,13,142
7,train,14,142
7,train,16,142
7,train,17,142
7,train,18,142
7,train,19,142
7,train,20,142
7,train,21,142
7,train,22,142
7,train,23,142
7,train,24,142
7,train,25,142
7,train,26,142
7,train,28,142
7,train,29,142
7,train,30,142
7,train,31,142
7,train,32,142
7,train,33,142
7,train,34,142
7,train,35,142
7,train,36,142
7,train,37,142
7,train,38,142
7,train,39,142
7,train,40,142
7,train,41,142
7,train,44,142
7,train,50,142
7,train,51,112
7,train,52,142
7,train,53,142
7,train,54,142
7,train,55,142
7,train,56,142
7,train,57,142
7,train,58,142
7,train,59,142
7,train,60,142
7,train,61,142
7,validation,3,32
7,validation,4,32
7,validation,6,32
7,validation,8,32
7,validation,10,32
7,validation,11,32
7,validation,12,32
7,validation,13,32
7,validation,14,32
7,validation,16,32
7,validation,17,32
7,validation,18,32
7,validation,19,32
7,validation,20,32
7,validation,21,32
7,validation,22,32
7,validation,23,32
7,validation,24,32
7,validation,25,32
7,validation,26,32
7,validation,28,32
7,validation,29,32
7,validation,30,32
7,validation,31,32
7,validation,32,32
7,validation,33,32
7,validation,34,32
7,validation,35,32
7,validation,36,32
7,validation,37,32
7,validation,38,32
7,validation,39,32
7,validation,40,32
7,validation,41,32
7,validation,44,32
7,validation,50,20
7,validation,51,20
7,validation,52,32
7,validation,53,32
7,validation,54,32
7,validation,55,32
7,validation,56,32
7,validation,57,32
7,validation,58,32
7,validation,59,32
7,validation,60,32
7,validation,61,32
7,test,3,32
7,test,4,32
7,test,6,32
7,test,8,32
7,test,10,32
7,test,11,32
7,test,12,32
7,test,13,32
7,test,14,32
7,test,16,32
7,test,17,23
7,test,18,32
7,test,19,32
7,test,20,32
7,test,21,32
7,test,22,32
7,test,23,32
7,test,24,32
7,test,25,32
7,test,26,32
7,test,28,32
7,test,29,32
7,test,30,32
7,test,31,32
7,test,32,32
7,test,33,32
7,test,34,32
7,test,35,32
7,test,36,32
7,test,37,32
7,test,38,32
7,test,39,32
7,test,40,32
7,test,41,12
7,test,44,32
7,test,50,32
7,test,51,32
7,test,52,32
7,test,53,32
7,test,54,32
7,test,55,32
7,test,56,32
