fold,start_date,end_date,train_rows,model,row_count,mae,rmse,mape_percent
1,2026-06-19,2026-07-03,5563.0,baseline_lag_1,504,0.0901190476190476,0.42959470563673274,1.5797465112616913
1,2026-06-19,2026-07-03,5563.0,ridge,504,0.1115924092587971,0.415449529733781,2.0725545151701157
1,2026-06-19,2026-07-03,5563.0,gradient_boosting,504,0.1374544671424568,0.4321132406293556,2.3250042447907444
2,2026-07-06,2026-07-21,6067.0,baseline_lag_1,506,0.1475,0.7012849485418772,2.7212714885421803
2,2026-07-06,2026-07-21,6067.0,ridge,506,0.1905341261912712,0.7120961969731157,3.689702760957462
2,2026-07-06,2026-07-21,6067.0,gradient_boosting,506,0.1938130188081039,0.7130838248016781,3.735069090237577
3,2026-07-22,2026-08-04,6573.0,baseline_lag_1,470,0.13274680851063828,0.618213419390823,2.0178404961884215
3,2026-07-22,2026-08-04,6573.0,ridge,470,0.17595673948653204,0.6585165629741615,2.822716206346019
3,2026-07-22,2026-08-04,6573.0,gradient_boosting,470,0.1959998969828663,0.6193144456137222,2.9543098339387073
pooled,2026-06-19,2026-08-04,,baseline_lag_1,1480,0.12327432432432431,0.5935995248868937,2.1091490865451314
pooled,2026-06-19,2026-08-04,,ridge,1480,0.15902196599857232,0.6081569642601363,2.86367141194111
pooled,2026-06-19,2026-08-04,,gradient_boosting,1480,0.17531512874232835,0.5993643566623196,3.0069410276932036
