model,direction,row_count,accuracy_percent
baseline_lag_1,rise,4014,0.0
baseline_lag_1,fall,3636,0.0
baseline_lag_1,all_changes,7650,0.0
gradient_boosting,rise,4014,72.54608868958645
gradient_boosting,fall,3636,35.50605060506051
gradient_boosting,all_changes,7650,54.94117647058824
ridge,rise,4014,66.9905331340309
ridge,fall,3636,43.701870187018706
ridge,all_changes,7650,55.92156862745098
xgboost,rise,4014,72.04783258594918
xgboost,fall,3636,34.84598459845984
xgboost,all_changes,7650,54.36601307189542
