model,risk_type,true_positive,false_positive,false_negative,precision_percent,recall_percent,f1_percent
baseline_lag_1,all_large_changes,0,0,1560,0.0,0.0,0.0
baseline_lag_1,large_rise,0,0,900,0.0,0.0,0.0
baseline_lag_1,large_fall,0,0,660,0.0,0.0,0.0
gradient_boosting,all_large_changes,149,409,1411,26.70250896057348,9.551282051282051,14.069877242681775
gradient_boosting,large_rise,87,445,813,16.35338345864662,9.666666666666666,12.150837988826817
gradient_boosting,large_fall,17,9,643,65.38461538461539,2.5757575757575757,4.956268221574344
ridge,all_large_changes,232,313,1328,42.56880733944954,14.871794871794872,22.04275534441805
ridge,large_rise,169,328,731,34.00402414486921,18.777777777777775,24.19470293486042
ridge,large_fall,23,25,637,47.91666666666667,3.4848484848484853,6.4971751412429395
xgboost,all_large_changes,155,407,1405,27.580071174377224,9.935897435897436,14.608859566446746
xgboost,large_rise,91,446,809,16.945996275605214,10.11111111111111,12.66527487821851
xgboost,large_fall,13,12,647,52.0,1.9696969696969695,3.795620437956204
