model,segment,row_count,mae,rmse,mape_percent,mape_excluded_zero_count,r2,direction_accuracy_percent
baseline_lag_1,all,10528,0.17897087185494776,0.4471470938788835,3.4109692225125534,0,0.9940695737771189,24.088145896656535
gradient_boosting,all,10528,0.20657280282272783,0.4334034471817998,4.5113630896024155,0,0.9944285298895845,41.28039513677811
ridge,all,10528,0.2089969198192989,0.43023596101124456,3.9790871748050454,0,0.9945096693772213,42.45820668693009
xgboost,all,10528,0.21036410703256164,0.43286351812643226,4.440858890690445,0,0.9944424029901497,40.86246200607903
baseline_lag_1,price_change,7650,0.24630135148874366,0.5245569349940605,4.694207055504855,0,0.9885482792631712,0.0
gradient_boosting,price_change,7650,0.25995072647998,0.5048699369734222,5.934084042491239,0,0.9893917314741748,54.94117647058824
ridge,price_change,7650,0.2584862382092777,0.5005744851939786,5.163163513261237,0,0.9895714746454175,55.92156862745098
xgboost,price_change,7650,0.2602943464918767,0.5021778209655333,5.810255562859607,0,0.9895045627035025,54.36601307189542
baseline_lag_1,large_change,1560,0.8008981445868947,1.10945184119284,15.10899875806655,0,0.9197084649833289,0.0
gradient_boosting,large_change,1560,0.7381818686218945,1.0345328848826032,14.392955864544088,0,0.9301861721397896,66.53846153846153
ridge,large_change,1560,0.7176399842510331,1.0236891640839183,13.49051013214895,0,0.9316420448441094,69.03846153846153
xgboost,large_change,1560,0.730432538727077,1.022331306599927,14.305348984166741,0,0.9318232693879449,66.73076923076923
