fold,model,train_rows,evaluation_rows,preprocessing_seconds,fit_seconds,prediction_seconds
1,baseline_lag_1,22953,2468,0.12381569994613528,0.0,0.0
1,ridge,22953,2468,0.12381569994613528,0.1171368001960218,0.0005119000561535358
1,gradient_boosting,22953,2468,0.12381569994613528,29.32425369997509,0.00785699998959899
1,xgboost,22953,2468,0.12381569994613528,1.0426512998528779,0.0031203001271933317
2,baseline_lag_1,25415,2707,0.10513809998519719,0.0,0.0
2,ridge,25415,2707,0.10513809998519719,0.02161519997753203,0.000820100074633956
2,gradient_boosting,25415,2707,0.10513809998519719,34.52575989998877,0.009591899812221527
2,xgboost,25415,2707,0.10513809998519719,1.7680417001247406,0.0042431999463588
3,baseline_lag_1,28093,2703,0.11293069995008409,0.0,0.0
3,ridge,28093,2703,0.11293069995008409,0.01642040000297129,0.0004926000256091356
3,gradient_boosting,28093,2703,0.11293069995008409,41.440198600059375,0.011350200045853853
3,xgboost,28093,2703,0.11293069995008409,1.7123461998999119,0.007908799918368459
4,baseline_lag_1,30805,2650,0.11924450006335974,0.0,0.0
4,ridge,30805,2650,0.11924450006335974,0.02041919995099306,0.0005715000443160534
4,gradient_boosting,30805,2650,0.11924450006335974,44.122941200155765,0.00962249981239438
4,xgboost,30805,2650,0.11924450006335974,1.167236499954015,0.0031112998258322477
