fold,config_number,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,validation_mae,validation_rmse,fit_and_predict_seconds,selected
1,1,2,0.03,300,0.9,0.9,0.23480236572834484,0.4384926727871361,1.6450934999156743,False
1,2,3,0.05,200,0.9,0.9,0.2122379389204446,0.41324641668625156,0.9236646997742355,True
1,3,4,0.03,250,0.8,0.9,0.21636455718708264,0.42036366276970216,1.350489400094375,False
2,1,2,0.03,300,0.9,0.9,0.22896786771658065,0.42024498985189085,1.3455328000709414,False
2,2,3,0.05,200,0.9,0.9,0.214630977791888,0.4039497478956625,1.028296200092882,False
2,3,4,0.03,250,0.8,0.9,0.21240030424444054,0.4017919758222697,1.6083273999392986,True
3,1,2,0.03,300,0.9,0.9,0.2443353382004104,0.5208902130404276,1.5238666001241654,False
3,2,3,0.05,200,0.9,0.9,0.23684181004730545,0.5029221964297155,1.1980272000655532,False
3,3,4,0.03,250,0.8,0.9,0.23480330833322616,0.49502537210090564,1.5626265997998416,True
4,1,2,0.03,300,0.9,0.9,0.21871526744517222,0.4665315849924556,1.5033958998974413,False
4,2,3,0.05,200,0.9,0.9,0.20339135925462593,0.4420385385818904,1.2001265999861062,True
4,3,4,0.03,250,0.8,0.9,0.20393491503093264,0.4427933608774021,1.7558299999218434,False
