fold,model,segment,row_count,mae,rmse,mape_percent,direction_accuracy_percent
1,baseline_lag_1,all,276,0.12317246376811608,0.32027404434056295,2.2347554470036677,50.72463768115942
1,gradient_boosting,all,276,0.20911783601395198,0.3849568484880376,4.0406038147984225,28.6231884057971
1,ridge,all,276,0.1697744486767313,0.31689284539594414,3.844035318574747,32.608695652173914
2,baseline_lag_1,all,272,0.25460122549019615,0.6962347737507358,4.596468353285802,53.30882352941176
2,gradient_boosting,all,272,0.29707900566386486,0.7060646638009409,5.410456525727089,27.941176470588236
2,ridge,all,272,0.2659622987036611,0.6732331693835194,4.673140885659249,29.77941176470588
3,baseline_lag_1,all,276,0.30202753623188405,0.6933632218073528,5.918654077366857,52.17391304347826
3,gradient_boosting,all,276,0.34718378207242007,0.6792050734818778,7.1788060455831,24.637681159420293
3,ridge,all,276,0.34525265224982,0.7054001444623487,7.202269143975813,24.27536231884058
1,baseline_lag_1,price_change,130,0.2615046153846155,0.46666433266815605,4.744557718253939,0.0
1,gradient_boosting,price_change,130,0.32359704363646236,0.5177682909386958,6.310327153809514,56.15384615384615
1,ridge,price_change,130,0.27547547194847705,0.44285667822652186,6.298703476768121,64.61538461538461
2,baseline_lag_1,price_change,121,0.5723267217630853,1.043872549964472,10.332556959452383,0.0
2,gradient_boosting,price_change,121,0.5767541693555304,1.053047342537399,10.4918349786462,62.8099173553719
2,ridge,price_change,121,0.5332038519877703,1.0053509665756624,8.895847671694435,61.98347107438017
3,baseline_lag_1,price_change,130,0.6412276923076923,1.0102844452087587,12.56575788733271,0.0
3,gradient_boosting,price_change,130,0.6545924757334983,0.9824288451669811,14.079044216856495,51.53846153846153
3,ridge,price_change,130,0.6917872490486732,1.0257519890965405,14.544393824167093,50.0
1,baseline_lag_1,large_change,21,0.7290476190476189,0.9302614297169627,14.915608566496536,0.0
1,gradient_boosting,large_change,21,0.6861250676661808,0.8912893601549026,13.485097099891346,71.42857142857143
1,ridge,large_change,21,0.5872335810343423,0.7943090681641228,10.918456430958091,95.23809523809523
2,baseline_lag_1,large_change,54,0.9729493827160494,1.4976813783957572,18.343789811195773,0.0
2,gradient_boosting,large_change,54,0.9682834540327842,1.5100848970339302,17.511130904741933,62.96296296296296
2,ridge,large_change,54,0.8736185779265413,1.4304335517081233,15.046197327746484,77.77777777777779
3,baseline_lag_1,large_change,57,1.1924921052631579,1.4853141375899446,23.41014147904846,0.0
3,gradient_boosting,large_change,57,1.1433813294241721,1.4179340333633534,23.286326727174863,50.877192982456144
3,ridge,large_change,57,1.1692480188135514,1.4674601653002226,23.084963776661187,52.63157894736842
