series_id,ingredient_id,ingredient_code,ingredient_name,observation_count,first_price_date,last_price_date,calendar_span_days,observation_density_percent,eligibility_status
3,509,F00993,"양배추, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
4,6,F00006,"메밀, 도정, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
5,136,F00223,"보리, 쌀보리, 찰보리, 도정, 생것",14,2026-09-01,2026-09-18,18.0,77.77777777777779,LOW_DENSITY
6,163,F00280,"찹쌀, 백미, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
7,259,F00426,"녹두, 말린것",14,2026-09-01,2026-09-18,18.0,77.77777777777779,LOW_DENSITY
8,259,F00426,"녹두, 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
9,259,F00426,"녹두, 말린것",14,2026-09-01,2026-09-18,18.0,77.77777777777779,LOW_DENSITY
10,291,F00494,"들깨, 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
11,291,F00494,"들깨, 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
12,314,F00550,"참깨, 흰색, 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
13,314,F00550,"참깨, 흰색, 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
14,314,F00550,"참깨, 흰색, 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
15,334,F00576,"가지, 생것",14,2026-09-01,2026-09-18,18.0,77.77777777777779,LOW_DENSITY
16,354,F00622,"고추, 빨간색, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
17,355,F00623,"고추, 빨간색, 말린것",233,2025-09-22,2026-09-18,362.0,64.3646408839779,ELIGIBLE
18,356,F00624,"고추, 꽈리고추, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
19,359,F00630,"고추, 오이고추, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
20,360,F00632,"고추, 청양고추, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
21,392,F00702,"당근, 뿌리, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
22,404,F00730,"들깻잎, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
23,461,F00872,"브로콜리, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
24,480,F00919,"생강, 뿌리줄기, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
25,480,F00919,"생강, 뿌리줄기, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
26,489,F00952,"시금치, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
28,516,F01001,"양파, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
29,521,F01015,"배추, 얼갈이배추, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
30,525,F01028,"열무, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
31,563,F01129,"토마토, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
32,575,F01149,"파, 대파, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
33,581,F01165,"피망, 초록색, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
34,594,F01186,"호박, 쥬키니, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
35,596,F01200,"느타리버섯, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
36,609,F01251,"큰느타리버섯(새송이버섯), 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
37,610,F01257,"팽이버섯, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
38,652,F01334,"레몬, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
39,655,F01340,"망고, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
40,670,F01364,"바나나, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
41,675,F01370,"배, 신고, 생것",222,2025-09-22,2026-09-18,362.0,61.32596685082873,ELIGIBLE
42,719,F01439,"오렌지, 생것",95,2025-09-22,2026-09-18,362.0,26.243093922651934,LOW_DENSITY
43,745,F01484,"키위, 골드, 생것",14,2026-09-01,2026-09-18,18.0,77.77777777777779,LOW_DENSITY
44,747,F01488,"파인애플, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
45,755,F01506,"포도, 거봉, 생것, 껍질 포함",72,2025-09-22,2026-09-18,362.0,19.88950276243094,LOW_DENSITY
46,756,F01512,"포도, 샤인머스캣, 생것, 껍질 포함",175,2025-09-22,2026-09-18,362.0,48.34254143646409,LOW_DENSITY
47,757,F01517,"포도, 캠벨얼리, 생것",73,2025-09-22,2026-09-18,362.0,20.165745856353592,LOW_DENSITY
48,782,F01599,"돼지고기, 갈비, 생것",0,,,,,EMPTY
49,789,F01617,"돼지고기, 목심, 생것",0,,,,,EMPTY
50,873,F01922,"갈치, 생것",230,2025-09-22,2026-09-18,362.0,63.53591160220995,ELIGIBLE
51,875,F01931,"고등어, 생것",200,2025-09-22,2026-09-18,362.0,55.24861878453039,ELIGIBLE
52,906,F02056,"멸치, 대멸치, 삶아서 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
53,907,F02057,"멸치, 중멸치, 삶아서 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
54,908,F02058,"멸치, 잔멸치, 삶아서 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
55,919,F02072,"명태, 동태, 냉동",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
56,919,F02072,"명태, 동태, 냉동",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
57,1044,F02514,"새우, 흰다리새우, 생것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
58,1055,F02537,"오징어, 냉동",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
59,1055,F02537,"오징어, 냉동",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
60,1076,F02586,"다시마, 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
61,1082,F02599,"미역, 말린것",242,2025-09-22,2026-09-18,362.0,66.85082872928176,ELIGIBLE
